,speaker,congress,first.name,last.name,state,party,speaker.name,speakerID,stateName,retiring,running,appointeeRunning,specialElection,female,speakerNameSpeech,speakerNameVote,bioname,nokken_poole_dim1,nokken_poole_dim2
78,mr roberts,112,Pat,Roberts,KS,R,Roberts (KS),181,Kansas,0,0,0,0,0,Roberts (KS),"ROBERTS, Charles Patrick (Pat)","ROBERTS, Charles Patrick (Pat)",0.414,0.291
79,mr rockefeller,112,John D. IV,Rockefeller,WV,D,Rockefeller (WV),182,West Virginia,0,0,0,0,0,Rockefeller (WV),"ROCKEFELLER, John Davison IV (Jay)","ROCKEFELLER, John Davison IV (Jay)",-0.377,-0.036
80,mr sanders,112,Bernie,Sanders,VT,I,Sanders (VT),186,Vermont,0,1,0,0,0,Sanders (VT),"SANDERS, Bernard","SANDERS, Bernard",-0.823,0.567
81,mr sessions,112,Jeff,Sessions,AL,R,Sessions (AL),192,Alabama,0,0,0,0,0,Sessions (AL),"SESSIONS, Jefferson Beauregard III (Jeff)","SESSIONS, Jefferson Beauregard III (Jeff)",0.525,0.043
82,mrs shaheen,112,Jeanne,Shaheen,NH,D,Shaheen (NH),193,New Hampshire,0,0,0,0,1,Shaheen (NH),"SHAHEEN, Jeanne","SHAHEEN, Jeanne",-0.281,-0.357
83,mr shelby,112,Richard,Shelby,AL,R,Shelby (AL),194,Alabama,0,0,0,0,0,Shelby (AL),"SHELBY, Richard C.","SHELBY, Richard C.",0.468,0.423
84,ms snowe,112,Olympia,Snowe,ME,R,Snowe (ME),199,Maine,1,0,0,0,1,Snowe (ME),"SNOWE, Olympia Jean","SNOWE, Olympia Jean",0.107,-0.5
85,ms stabenow,112,Debbie,Stabenow,MI,D,Stabenow (MI),201,Michigan,0,1,0,0,1,Stabenow (MI),"STABENOW, Deborah Ann","STABENOW, Deborah Ann",-0.264,0.333
86,mr tester,112,John,Tester,MT,D,Tester (MT),205,Montana,0,1,0,0,0,Tester (MT),"TESTER, Jon","TESTER, Jon",-0.21,0.094
87,mr thune,112,John,Thune,SD,R,Thune (SD),208,South Dakota,0,0,0,0,0,Thune (SD),"THUNE, John","THUNE, John",0.431,0.154
88,mr toomey,112,Pat,Toomey,PA,R,Toomey (PA),210,Pennsylvania,0,0,0,0,0,Toomey(PA),"TOOMEY, Patrick Joseph","TOOMEY, Patrick Joseph",0.573,-0.308
89,mr udall of colorado,112,Mark,Udall,CO,D,Udall (CO),212,Colorado,0,0,0,0,0,Udall (CO),"UDALL, Mark","UDALL, Mark",-0.244,-0.172
90,mr udall of new mexico,112,Tom,Udall,NM,D,Udall (NM),213,New Mexico,0,0,0,0,0,Udall (NM),"UDALL, Thomas (Tom)","UDALL, Thomas (Tom)",-0.426,-0.319
91,mr webb,112,Jim,Webb,VA,D,Webb (VA),220,Virginia,1,0,0,0,0,Webb (VA),"WEBB, James H. (Jim)","WEBB, James H. (Jim)",-0.163,0.082
92,mr whitehouse,112,Sheldon,Whitehouse,RI,D,Whitehouse (RI),222,Rhode Island,0,1,0,0,0,Whitehouse (RI),"WHITEHOUSE, Sheldon","WHITEHOUSE, Sheldon",-0.406,-0.047
93,mr wicker,112,Roger F.,Wicker,MS,R,Wicker (MS),223,Mississippi,0,1,0,0,0,Wicker (MS),"WICKER, Roger F.","WICKER, Roger F.",0.397,0.414
94,mr wyden,112,Ron,Wyden,OR,D,Wyden (OR),224,Oregon,0,0,0,0,0,Wyden (OR),"WYDEN, Ronald Lee","WYDEN, Ronald Lee",-0.346,-0.57
0,mr alexander,113,Lamar,Alexander,TN,R,Alexander (TN),3,Tennessee,0,1,0,0,0,Alexander (TN),"ALEXANDER, Lamar","ALEXANDER, Lamar",0.312,0.04
1,ms ayotte,113,Kelly,Ayotte,NH,R,Ayotte (NH),7,New Hampshire,0,0,0,0,1,Ayotte (NH),"AYOTTE, Kelly","AYOTTE, Kelly",0.341,-0.614
2,ms baldwin,113,Tammy,Baldwin,WI,D,Baldwin (WI),8,Wisconsin,0,0,0,0,1,Baldwin (WI),"BALDWIN, Tammy","BALDWIN, Tammy",-0.457,-0.244
3,mr barrasso,113,John,Barrasso,WY,R,Barrasso (WY),10,Wyoming,0,0,0,0,0,Barrasso (WY),"BARRASSO, John A.","BARRASSO, John A.",0.562,0.284
4,mr baucus,113,Max,Baucus,MT,D,Baucus (MT),11,Montana,0,0,0,0,0,Baucus (MT),"BAUCUS, Max Sieben","BAUCUS, Max Sieben",-0.155,0.036
5,mr begich,113,Mark,Begich,AK,D,Begich (AK),13,Alaska,0,1,0,0,0,Begich (AK),"BEGICH, Mark","BEGICH, Mark",-0.241,0.348
6,mr bennet,113,Michael,Bennet,CO,D,Bennet (CO),14,Colorado,0,0,0,0,0,Bennet (CO),"BENNET, Michael F.","BENNET, Michael F.",-0.246,-0.081
7,mr blumenthal,113,Richard,Blumenthal,CT,D,Blumenthal (CT),18,Connecticut,0,0,0,0,0,Blumenthal (CT),"BLUMENTHAL, Richard","BLUMENTHAL, Richard",-0.512,-0.332
8,mr blunt,113,Roy,Blunt,MO,R,Blunt (MO),19,Missouri,0,0,0,0,0,Blunt (MO),"BLUNT, Roy","BLUNT, Roy",0.383,0.355
9,mr booker,113,Cory,Booker,NJ,D,Booker (NJ),21,New Jersey,0,1,0,0,0,Booker (NJ),"BOOKER, Cory Anthony","BOOKER, Cory Anthony",-0.47,-0.623
10,mr boozman,113,John,Boozman,AR,R,Boozman (AR),22,Arkansas,0,0,0,0,0,Boozman (AR),"BOOZMAN, John","BOOZMAN, John",0.429,0.457
11,mrs boxer,113,Barbara,Boxer,CA,D,Boxer (CA),23,California,0,0,0,0,1,Boxer (CA),"BOXER, Barbara","BOXER, Barbara",-0.537,-0.097
12,mr brown,113,Sherrod,Brown,OH,D,Brown (OH),28,Ohio,0,0,0,0,0,Brown (OH),"BROWN, Sherrod","BROWN, Sherrod",-0.514,0.132
13,mr burr,113,Richard,Burr,NC,R,Burr (NC),34,North Carolina,0,0,0,0,0,Burr (NC),"BURR, Richard M.","BURR, Richard M.",0.434,0.043
14,ms cantwell,113,Maria,Cantwell,WA,D,Cantwell (WA),38,Washington,0,0,0,0,1,Cantwell (WA),"CANTWELL, Maria E.","CANTWELL, Maria E.",-0.436,-0.132
15,mr cardin,113,Ben,Cardin,MD,D,Cardin (MD),39,Maryland,0,0,0,0,0,Cardin (MD),"CARDIN, Benjamin Louis","CARDIN, Benjamin Louis",-0.46,-0.171
16,mr carper,113,Tom,Carper,DE,D,Carper (DE),41,Delaware,0,0,0,0,0,Carper (DE),"CARPER, Thomas Richard","CARPER, Thomas Richard",-0.254,-0.172
17,mr casey,113,Robert,Casey,PA,D,Casey (PA),42,Pennsylvania,0,0,0,0,0,Casey (PA),"CASEY, Robert (Bob), Jr.","CASEY, Robert (Bob), Jr.",-0.255,-0.001
18,mr chambliss,113,Saxby,Chambliss,GA,R,Chambliss (GA),45,Georgia,0,1,0,0,0,Chambliss (GA),"CHAMBLISS, Saxby","CHAMBLISS, Saxby",0.343,0.17
19,mr chiesa,113,Jeffrey S.,Chiesa,NJ,R,Chiesa (NJ),46,New Jersey,0,0,0,0,0,Chiesa (NJ),"CHIESA, Jeffrey Scott","CHIESA, Jeffrey Scott",0.256,0.133
20,mr coats,113,Daniel,Coats,IN,R,Coats (IN),49,Indiana,0,0,0,0,0,Coats (IN),"COATS, Daniel Ray","COATS, Daniel Ray",0.407,-0.019
21,mr coburn,113,Tom,Coburn,OK,R,Coburn (OK),50,Oklahoma,1,0,0,0,0,Coburn (OK),"COBURN, Thomas Allen","COBURN, Thomas Allen",0.786,-0.28
22,mr cochran,113,Thad,Cochran,MS,R,Cochran (MS),51,Mississippi,0,1,0,0,0,Cochran (MS),"COCHRAN, William Thad","COCHRAN, William Thad",0.33,0.42
23,ms collins,113,Susan,Collins,ME,R,Collins (ME),54,Maine,0,1,0,0,1,Collins (ME),"COLLINS, Susan Margaret","COLLINS, Susan Margaret",0.101,-0.532
24,mr coons,113,Christopher,Coons,DE,D,Coons (DE),56,Delaware,0,1,0,0,0,Coons (DE),"COONS, Christopher A.","COONS, Christopher A.",-0.308,0.043
25,mr corker,113,Robert,Corker,TN,R,Corker (TN),57,Tennessee,0,0,0,0,0,Corker (TN),"CORKER, Robert (Bob)","CORKER, Robert (Bob)",0.372,-0.291
26,mr cornyn,113,John,Cornyn,TX,R,Cornyn (TX),58,Texas,0,1,0,0,0,Cornyn (TX),"CORNYN, John","CORNYN, John",0.539,-0.065
27,mr cowan,113,William 'Mo',Cowan,MA,D,Cowan (MA),61,Massachusetts,0,0,0,0,0,Cowan (MA),"COWAN, William (Mo)","COWAN, William (Mo)",-0.433,0.183
28,mr crapo,113,Mike,Crapo,ID,R,Crapo (ID),63,Idaho,0,0,0,0,0,Crapo (ID),"CRAPO, Michael Dean","CRAPO, Michael Dean",0.661,0.431
29,mr cruz,113,Ted,Cruz,TX,R,Cruz (TX),64,Texas,0,0,0,0,0,Cruz (TX),"CRUZ, Rafael Edward (Ted)","CRUZ, Rafael Edward (Ted)",0.887,-0.309
30,mr donnelly,113,Joe,Donnelly,IN,D,Donnelly (IN),74,Indiana,0,0,0,0,0,Donnelly (IN),"DONNELLY, Joe","DONNELLY, Joe",-0.171,0.318
31,mr durbin,113,Richard,Durbin,IL,D,Durbin (IL),76,Illinois,0,1,0,0,0,Durbin (IL),"DURBIN, Richard Joseph","DURBIN, Richard Joseph",-0.336,-0.286
32,mr enzi,113,Michael,Enzi,WY,R,Enzi (WY),79,Wyoming,0,1,0,0,0,Enzi (WY),"ENZI, Michael B.","ENZI, Michael B.",0.573,0.411
33,mrs feinstein,113,Dianne,Feinstein,CA,D,Feinstein (CA),83,California,0,0,0,0,1,Feinstein (CA),"FEINSTEIN, Dianne","FEINSTEIN, Dianne",-0.346,-0.278
34,mrs fischer,113,Deb,Fischer,NE,R,Fischer (NE),84,Nebraska,0,0,0,0,1,Fischer (NE),"FISCHER, Debra (Deb)","FISCHER, Debra (Deb)",0.461,0.34
35,mr flake,113,Jeff,Flake,AZ,R,Flake (AZ),86,Arizona,0,0,0,0,0,Flake (AZ),"FLAKE, Jeff","FLAKE, Jeff",0.476,-0.731
36,mr franken,113,Al,Franken,MN,D,Franken (MN),89,Minnesota,0,1,0,0,0,Franken (MN),"FRANKEN, Al","FRANKEN, Al",-0.378,-0.189
37,mrs gillibrand,113,Kirsten,Gillibrand,NY,D,Gillibrand (NY),91,New York,0,0,0,0,1,Gillibrand (NY),"GILLIBRAND, Kirsten","GILLIBRAND, Kirsten",-0.565,-0.199
38,mr graham,113,Lindsey,Graham,SC,R,Graham (SC),96,South Carolina,0,1,0,0,0,Graham (SC),"GRAHAM, Lindsey O.","GRAHAM, Lindsey O.",0.348,-0.195
39,mr grassley,113,Charles E.,Grassley,IA,R,Grassley (IA),99,Iowa,0,0,0,0,0,Grassley (IA),"GRASSLEY, Charles Ernest","GRASSLEY, Charles Ernest",0.501,-0.012
40,mrs hagan,113,Kay,Hagan,NC,D,Hagan (NC),101,North Carolina,0,1,0,0,1,Hagan (NC),"HAGAN, Kay","HAGAN, Kay",-0.175,0.326
41,mr harkin,113,Tom,Harkin,IA,D,Harkin (IA),103,Iowa,1,0,0,0,0,Harkin (IA),"HARKIN, Thomas Richard (Tom)","HARKIN, Thomas Richard (Tom)",-0.316,-0.085
42,mr hatch,113,Orrin G.,Hatch,UT,R,Hatch (UT),104,Utah,0,0,0,0,0,Hatch (UT),"HATCH, Orrin Grant","HATCH, Orrin Grant",0.346,-0.194
43,mr heinrich,113,Martin,Heinrich,NM,D,Heinrich (NM),107,New Mexico,0,0,0,0,0,Heinrich (NM),"HEINRICH, Martin","HEINRICH, Martin",-0.252,-0.05
44,ms heitkamp,113,Heidi,Heitkamp,ND,D,Heitkamp (ND),108,North Dakota,0,0,0,0,1,Heitkamp (ND),"HEITKAMP, Mary Kathryn (Heidi)","HEITKAMP, Mary Kathryn (Heidi)",-0.191,0.463
45,mr heller,113,Dean,Heller,NV,R,Heller (NV),109,Nevada,0,0,0,0,0,Heller (NV),"HELLER, Dean","HELLER, Dean",0.458,-0.607
46,ms hirono,113,Mazie,Hirono,HI,D,Hirono (HI),111,Hawaii,0,0,0,0,1,Hirono (HI),"HIRONO, Mazie","HIRONO, Mazie",-0.507,0.056
47,mr hoeven,113,John,Hoeven,ND,R,Hoeven (ND),112,North Dakota,0,0,0,0,0,Hoeven (ND),"HOEVEN, John","HOEVEN, John",0.367,0.241
48,mr inhofe,113,James,Inhofe,OK,R,Inhofe (OK),116,Oklahoma,0,1,0,0,0,Inhofe (OK),"INHOFE, James Mountain","INHOFE, James Mountain",0.594,0.188
49,mr isakson,113,Johnny,Isakson,GA,R,Isakson (GA),118,Georgia,0,0,0,0,0,Isakson (GA),"ISAKSON, Johnny","ISAKSON, Johnny",0.321,0.19
50,mr johanns,113,Mike,Johanns,NE,R,Johanns (NE),120,Nebraska,1,0,0,0,0,Johanns (NE),"JOHANNS, Mike","JOHANNS, Mike",0.391,0.359
51,mr johnson of wisconsin,113,Ron,Johnson,WI,R,Johnson (WI),121,Wisconsin,0,0,0,0,0,Johnson (WI),"JOHNSON, Ron","JOHNSON, Ron",0.685,-0.348
52,mr johnson of south dakota,113,Tim,Johnson,SD,D,Johnson (SD),122,South Dakota,1,0,0,0,0,Johnson (SD),"JOHNSON, Timothy Peter (Tim)","JOHNSON, Timothy Peter (Tim)",-0.348,0.229
53,mr kaine,113,Tim,Kaine,VA,D,Kaine (VA),124,Virginia,0,0,0,0,0,Kaine (VA),"KAINE, Timothy Michael (Tim)","KAINE, Timothy Michael (Tim)",-0.245,-0.041
54,mr king,113,Angus,King,ME,I,King (ME),131,Maine,0,0,0,0,0,King (ME),"KING, Angus Stanley, Jr.","KING, Angus Stanley, Jr.",-0.178,-0.375
55,mr kirk,113,Mark,Kirk,IL,R,Kirk (IL),132,Illinois,0,0,0,0,0,Kirk (IL),"KIRK, Mark Steven","KIRK, Mark Steven",0.345,-0.76
56,ms klobuchar,113,Amy,Klobuchar,MN,D,Klobuchar (MN),134,Minnesota,0,0,0,0,1,Klobuchar (MN),"KLOBUCHAR, Amy","KLOBUCHAR, Amy",-0.269,-0.213
57,ms landrieu,113,Mary,Landrieu,LA,D,Landrieu (LA),137,Louisiana,0,1,0,0,1,Landrieu (LA),"LANDRIEU, Mary L.","LANDRIEU, Mary L.",-0.196,0.434
58,mr lautenberg,113,Frank,Lautenberg,NJ,D,Lautenberg (NJ),138,New Jersey,0,0,0,0,0,Lautenberg (NJ),"LAUTENBERG, Frank Raleigh","LAUTENBERG, Frank Raleigh",-0.562,-0.605
59,mr leahy,113,Edward L.,Leahy,VT,D,Leahy (VT),139,Vermont,0,0,0,0,0,Leahy (VT),"LEAHY, Patrick Joseph","LEAHY, Patrick Joseph",-0.555,0.331
60,mr lee,113,Mike,Lee,UT,R,Lee (UT),140,Utah,0,0,0,0,0,Lee (UT),"LEE, Mike","LEE, Mike",0.949,-0.316
61,mr levin,113,Carl M.,Levin,MI,D,Levin (MI),142,Michigan,1,0,0,0,0,Levin (MI),"LEVIN, Carl","LEVIN, Carl",-0.317,-0.044
62,mr manchin,113,Joe,Manchin,WV,D,Manchin (WV),148,West Virginia,0,0,0,0,0,Manchin (WV),"MANCHIN, Joe, III","MANCHIN, Joe, III",-0.041,0.322
63,mr markey,113,Edward J.,Markey,MA,D,Markey (MA),149,Massachusetts,0,1,0,0,0,Markey (MA),"MARKEY, Edward John","MARKEY, Edward John",-0.536,-0.716
64,mr mccain,113,John,McCain,AZ,R,McCain (AZ),151,Arizona,0,0,0,0,0,McCain (AZ),"McCAIN, John Sidney, III","McCAIN, John Sidney, III",0.412,-0.579
65,mrs mccaskill,113,Claire,McCaskill,MO,D,McCaskill (MO),152,Missouri,0,0,0,0,1,McCaskill (MO),"McCASKILL, Claire","McCASKILL, Claire",-0.159,-0.055
66,mr mcconnell,113,Mitch,McConnell,KY,R,McConnell (KY),153,Kentucky,0,1,0,0,0,McConnell (KY),"McCONNELL, Addison Mitchell (Mitch)","McCONNELL, Addison Mitchell (Mitch)",0.488,0.206
67,mr menendez,113,Robert,Menendez,NJ,D,Menendez (NJ),154,New Jersey,0,0,0,0,0,Menendez (NJ),"MENENDEZ, Robert","MENENDEZ, Robert",-0.525,-0.299
68,mr merkley,113,Jeff,Merkley,OR,D,Merkley (OR),155,Oregon,0,1,0,0,0,Merkley (OR),"MERKLEY, Jeff","MERKLEY, Jeff",-0.407,-0.913
69,ms mikulski,113,Barbara,Mikulski,MD,D,Mikulski (MD),156,Maryland,0,0,0,0,1,Mikulski (MD),"MIKULSKI, Barbara Ann","MIKULSKI, Barbara Ann",-0.413,-0.149
70,mr moran,113,Jerry,Moran,KS,R,Moran (KS),158,Kansas,0,0,0,0,0,Moran (KS),"MORAN, Jerry","MORAN, Jerry",0.484,0.458
71,mr murphy,113,Chris,Murphy,CT,D,Murphy (CT),163,Connecticut,0,0,0,0,0,Murphy (CT),"MURPHY, Christopher","MURPHY, Christopher",-0.499,-0.248
72,mrs murray,113,Patty,Murray,WA,D,Murray (WA),164,Washington,0,0,0,0,1,Murray (WA),"MURRAY, Patty","MURRAY, Patty",-0.375,-0.179
73,mr nelson,113,Bill,Nelson,FL,D,Nelson (FL),166,Florida,0,0,0,0,0,Nelson (FL),"NELSON, Clarence William (Bill)","NELSON, Clarence William (Bill)",-0.276,-0.079
74,mr paul,113,Rand,Paul,KY,R,Paul (KY),171,Kentucky,0,0,0,0,0,Paul (KY),"PAUL, Rand","PAUL, Rand",0.914,-0.407
75,mr portman,113,Rob,Portman,OH,R,Portman (OH),173,Ohio,0,0,0,0,0,Portman (OH),"PORTMAN, Robert Jones (Rob)","PORTMAN, Robert Jones (Rob)",0.369,-0.105
76,mr reed,113,Jack,Reed,RI,D,Reed (RI),177,Rhode Island,0,1,0,0,0,Reed (RI),"REED, John F. (Jack)","REED, John F. (Jack)",-0.489,-0.451
77,mr reid,113,Harry,Reid,NV,D,Reid (NV),178,Nevada,0,0,0,0,0,Reid (NV),"REID, Harry","REID, Harry",-0.289,0.489
78,mr risch,113,Jim,Risch,ID,R,Risch (ID),179,Idaho,0,1,0,0,0,Risch (ID),"RISCH, James","RISCH, James",0.772,0.578
