,speaker,congress,first.name,last.name,state,party,speaker.name,speakerID,stateName,retiring,running,appointeeRunning,specialElection,female,speakerNameSpeech,speakerNameVote,bioname,nokken_poole_dim1,nokken_poole_dim2
0,mr abraham,104,Spencer,Abraham,MI,R,Abraham (MI),1,Michigan,0,0,0,0,0,Abraham (MI),"ABRAHAM, Spencer","ABRAHAM, Spencer",0.33,-0.302
1,mr akaka,104,Daniel,Akaka,HI,D,Akaka (HI),2,Hawaii,0,0,0,0,0,Akaka (HI),"AKAKA, Daniel Kahikina","AKAKA, Daniel Kahikina",-0.414,0.232
2,mr ashcroft,104,John,Ashcroft,MO,R,Ashcroft (MO),6,Missouri,0,0,0,0,0,Ashcroft (MO),"ASHCROFT, John David","ASHCROFT, John David",0.538,-0.274
3,mr baucus,104,Max,Baucus,MT,D,Baucus (MT),11,Montana,0,1,0,0,0,Baucus (MT),"BAUCUS, Max Sieben","BAUCUS, Max Sieben",-0.164,0.011
4,mr bennett,104,Robert,Bennett,UT,R,Bennett (UT),15,Utah,0,0,0,0,0,Bennett (UT),"BENNETT, Robert","BENNETT, Robert",0.325,-0.045
5,mr biden,104,"Joseph R., Jr.",Biden,DE,D,Biden (DE),16,Delaware,0,1,0,0,0,Biden (DE),"BIDEN, Joseph Robinette, Jr.","BIDEN, Joseph Robinette, Jr.",-0.266,-0.06
6,mr bingaman,104,Jeff,Bingaman,NM,D,Bingaman (NM),17,New Mexico,0,0,0,0,0,Bingaman (NM),"BINGAMAN, Jesse Francis, Jr. (Jeff)","BINGAMAN, Jesse Francis, Jr. (Jeff)",-0.269,0.066
7,mr bond,104,Kit,Bond,MO,R,Bond (MO),20,Missouri,0,0,0,0,0,Bond (MO),"BOND, Christopher Samuel (Kit)","BOND, Christopher Samuel (Kit)",0.291,-0.124
8,mrs boxer,104,Barbara,Boxer,CA,D,Boxer (CA),23,California,0,0,0,0,1,Boxer (CA),"BOXER, Barbara","BOXER, Barbara",-0.446,-0.207
9,mr bradley,104,Bill,Bradley,NJ,D,Bradley (NJ),24,New Jersey,1,0,0,0,0,Bradley (NJ),"BRADLEY, William Warren (Bill)","BRADLEY, William Warren (Bill)",-0.335,-0.653
10,mr breaux,104,John,Breaux,LA,D,Breaux (LA),25,Louisiana,0,0,0,0,0,Breaux (LA),"BREAUX, John Berlinger","BREAUX, John Berlinger",-0.21,0.978
11,mr brown,104,George Hanks (Hank),Brown,CO,R,Brown (CO),26,Colorado,1,0,0,0,0,Brown (CO),"BROWN, George Hanks (Hank)","BROWN, George Hanks (Hank)",0.557,-0.831
12,mr bryan,104,Richard,Bryan,NV,D,Bryan (NV),30,Nevada,0,0,0,0,0,Bryan (NV),"BRYAN, Richard H","BRYAN, Richard H",-0.252,0.245
13,mr bumpers,104,Dale,Bumpers,AR,D,Bumpers (AR),31,Arkansas,0,0,0,0,0,Bumpers (AR),"BUMPERS, Dale","BUMPERS, Dale",-0.396,0.389
14,mr burns,104,Conrad,Burns,MT,R,Burns (MT),33,Montana,0,0,0,0,0,Burns (MT),"BURNS, Conrad","BURNS, Conrad",0.351,0.21
15,mr byrd,104,Robert C.,Byrd,WV,D,Byrd (WV),36,West Virginia,0,0,0,0,0,Byrd (WV),"BYRD, Robert Carlyle","BYRD, Robert Carlyle",-0.319,0.948
16,mr campbell,104,Ben Nighthorse,Campbell,CO,R,Campbell (CO),37,Colorado,0,0,0,0,0,Campbell (CO),"CAMPBELL, Ben Nighthorse","CAMPBELL, Ben Nighthorse",-0.174,-0.506
17,mr campbell,104,Ben Nighthorse,Campbell,CO,R,Campbell (CO),37,Colorado,0,0,0,0,0,Campbell (CO),"CAMPBELL, Ben Nighthorse","CAMPBELL, Ben Nighthorse",0.152,-0.123
18,mr chafee,104,John H.,Chafee,RI,R,Chafee (RI),43,Rhode Island,0,0,0,0,0,Chafee (RI),"CHAFEE, John Hubbard","CHAFEE, John Hubbard",0.091,-0.996
19,mr coats,104,Daniel,Coats,IN,R,Coats (IN),49,Indiana,0,0,0,0,0,Coats (IN),"COATS, Daniel Ray","COATS, Daniel Ray",0.457,-0.432
20,mr cochran,104,Thad,Cochran,MS,R,Cochran (MS),51,Mississippi,0,1,0,0,0,Cochran (MS),"COCHRAN, William Thad","COCHRAN, William Thad",0.325,0.248
21,mr cohen,104,William S.,Cohen,ME,R,Cohen (ME),52,Maine,1,0,0,0,0,Cohen (ME),"COHEN, William Sebastian","COHEN, William Sebastian",0.04,-0.665
22,mr conrad,104,Kent,Conrad,ND,D,Conrad (ND),55,North Dakota,0,0,0,0,0,Conrad (ND),"CONRAD, Kent","CONRAD, Kent",-0.347,0.624
23,mr coverdell,104,Paul,Coverdell,GA,R,Coverdell (GA),60,Georgia,0,0,0,0,0,Coverdell (GA),"COVERDELL, Paul","COVERDELL, Paul",0.428,0.056
24,mr craig,104,Larry E.,Craig,ID,R,Craig (ID),62,Idaho,0,1,0,0,0,Craig (ID),"CRAIG, Larry Edwin","CRAIG, Larry Edwin",0.477,0.237
25,mr d'amato,104,Alfonse M.,DAmato,NY,R,DAmato (NY),65,New York,0,0,0,0,0,DAmato (NY),"D'AMATO, Alfonse Marcello","D'AMATO, Alfonse Marcello",0.229,-0.201
26,mr daschle,104,Tom,Daschle,SD,D,Daschle (SD),66,South Dakota,0,0,0,0,0,Daschle (SD),"DASCHLE, Thomas Andrew","DASCHLE, Thomas Andrew",-0.381,0.359
27,mr dewine,104,Mike,DeWine,OH,R,DeWine (OH),69,Ohio,0,0,0,0,0,DeWine (OH),"DeWINE, Michael","DeWINE, Michael",0.241,-0.395
28,mr dodd,104,Christopher J.,Dodd,CT,D,Dodd (CT),70,Connecticut,0,0,0,0,0,Dodd (CT),"DODD, Christopher John","DODD, Christopher John",-0.318,-0.064
29,mr dole,104,Robert,Dole,KS,R,Dole (KS),72,Kansas,0,0,0,0,0,Dole (KS),"DOLE, Robert Joseph","DOLE, Robert Joseph",0.381,-0.015
30,mr domenici,104,Pete V.,Domenici,NM,R,Domenici (NM),73,New Mexico,0,1,0,0,0,Domenici (NM),"DOMENICI, Pete Vichi","DOMENICI, Pete Vichi",0.266,-0.198
31,mr dorgan,104,Byron L.,Dorgan,ND,D,Dorgan (ND),75,North Dakota,0,0,0,0,0,Dorgan (ND),"DORGAN, Byron Leslie","DORGAN, Byron Leslie",-0.337,0.416
32,mr exon,104,J. James,Exon,NE,D,Exon (NE),80,Nebraska,1,0,0,0,0,Exon (NE),"EXON, J. James","EXON, J. James",-0.199,0.444
33,mr faircloth,104,D. M. 'Lauch',Faircloth,NC,R,Faircloth (NC),81,North Carolina,0,0,0,0,0,Faircloth (NC),"FAIRCLOTH, Duncan McLauchlin (Lauch)","FAIRCLOTH, Duncan McLauchlin (Lauch)",0.714,0.347
34,mr feingold,104,Russell,Feingold,WI,D,Feingold (WI),82,Wisconsin,0,0,0,0,0,Feingold (WI),"FEINGOLD, Russell Dana","FEINGOLD, Russell Dana",-0.394,-0.919
35,mrs feinstein,104,Dianne,Feinstein,CA,D,Feinstein (CA),83,California,0,0,0,0,1,Feinstein (CA),"FEINSTEIN, Dianne","FEINSTEIN, Dianne",-0.233,-0.026
36,mr ford,104,Wendell H.,Ford,KY,D,Ford (KY),87,Kentucky,0,0,0,0,0,Ford (KY),"FORD, Wendell Hampton","FORD, Wendell Hampton",-0.256,0.876
37,mrs frahm,104,Sheila,Frahm,KS,R,Frahm (KS),88,Kansas,0,0,1,1,1,Frahm (KS),"FRAHM, Sheila","FRAHM, Sheila",0.49,0.056
38,mr frist,104,Bill,Frist,TN,R,Frist (TN),90,Tennessee,0,0,0,0,0,Frist (TN),"FRIST, William H.","FRIST, William H.",0.338,-0.186
39,mr glenn,104,"John H., Jr.",Glenn,OH,D,Glenn (OH),92,Ohio,0,0,0,0,0,Glenn (OH),"GLENN, John Herschel, Jr.","GLENN, John Herschel, Jr.",-0.303,-0.112
40,mr gorton,104,Slade,Gorton,WA,R,Gorton (WA),94,Washington,0,0,0,0,0,Gorton (WA),"GORTON, Thomas Slade, III (Slade)","GORTON, Thomas Slade, III (Slade)",0.268,-0.436
41,mr graham,104,Bob,Graham,FL,D,Graham (FL),95,Florida,0,0,0,0,0,Graham (FL),"GRAHAM, Daniel Robert (Bob)","GRAHAM, Daniel Robert (Bob)",-0.233,0.034
42,mr gramm,104,Phil,Gramm,TX,R,Gramm (TX),97,Texas,0,1,0,0,0,Gramm (TX),"GRAMM, William Philip (Phil)","GRAMM, William Philip (Phil)",0.581,-0.036
43,mr grams,104,Rod,Grams,MN,R,Grams (MN),98,Minnesota,0,0,0,0,0,Grams (MN),"GRAMS, Rod","GRAMS, Rod",0.522,-0.312
44,mr grassley,104,Charles E.,Grassley,IA,R,Grassley (IA),99,Iowa,0,0,0,0,0,Grassley (IA),"GRASSLEY, Charles Ernest","GRASSLEY, Charles Ernest",0.336,-0.251
45,mr gregg,104,Judd,Gregg,NH,R,Gregg (NH),100,New Hampshire,0,0,0,0,0,Gregg (NH),"GREGG, Judd Alan","GREGG, Judd Alan",0.395,-0.714
46,mr harkin,104,Tom,Harkin,IA,D,Harkin (IA),103,Iowa,0,1,0,0,0,Harkin (IA),"HARKIN, Thomas Richard (Tom)","HARKIN, Thomas Richard (Tom)",-0.356,-0.357
47,mr hatch,104,Orrin G.,Hatch,UT,R,Hatch (UT),104,Utah,0,0,0,0,0,Hatch (UT),"HATCH, Orrin Grant","HATCH, Orrin Grant",0.346,0.009
48,mr hatfield,104,Mark O.,Hatfield,OR,R,Hatfield (OR),105,Oregon,1,0,0,0,0,Hatfield (OR),"HATFIELD, Mark Odom","HATFIELD, Mark Odom",0.104,-0.902
49,mr heflin,104,Howell T.,Heflin,AL,D,Heflin (AL),106,Alabama,1,0,0,0,0,Heflin (AL),"HEFLIN, Howell Thomas","HEFLIN, Howell Thomas",-0.083,0.997
50,mr helms,104,Jesse,Helms,NC,R,Helms (NC),110,North Carolina,0,1,0,0,0,Helms (NC),"HELMS, Jesse","HELMS, Jesse",0.658,0.698
51,mr hollings,104,Ernest F.,Hollings,SC,D,Hollings (SC),113,South Carolina,0,0,0,0,0,Hollings (SC),"HOLLINGS, Ernest Frederick","HOLLINGS, Ernest Frederick",-0.245,0.815
52,mrs hutchison,104,Kathryn Ann Bailey,Hutchison,TX,R,Hutchison (TX),115,Texas,0,0,0,0,1,Hutchison (TX),"HUTCHISON, Kathryn Ann Bailey (Kay)","HUTCHISON, Kathryn Ann Bailey (Kay)",0.413,-0.038
53,mr inhofe,104,James,Inhofe,OK,R,Inhofe (OK),116,Oklahoma,0,1,0,0,0,Inhofe (OK),"INHOFE, James Mountain","INHOFE, James Mountain",0.585,-0.069
54,mr inouye,104,Daniel K.,Inouye,HI,D,Inouye (HI),117,Hawaii,0,0,0,0,0,Inouye (HI),"INOUYE, Daniel Ken","INOUYE, Daniel Ken",-0.296,0.47
55,mr johnston,104,"J. Bennett, Jr.",Johnston,LA,D,Johnston (LA),123,Louisiana,1,0,0,0,0,Johnston (LA),"JOHNSTON, John Bennett, Jr.","JOHNSTON, John Bennett, Jr.",-0.214,0.977
56,mrs kassebaum,104,Nancy L.,Kassebaum,KS,R,Kassebaum (KS),125,Kansas,1,0,0,0,1,Kassebaum (KS),"KASSEBAUM, Nancy Landon","KASSEBAUM, Nancy Landon",0.177,-0.664
57,mr kempthorne,104,Dirk,Kempthorne,ID,R,Kempthorne (ID),127,Idaho,0,0,0,0,0,Kempthorne (ID),"KEMPTHORNE, Dirk","KEMPTHORNE, Dirk",0.468,0.164
58,mr kennedy,104,Edward M.,Kennedy,MA,D,Kennedy (MA),128,Massachusetts,0,0,0,0,0,Kennedy (MA),"KENNEDY, Edward Moore (Ted)","KENNEDY, Edward Moore (Ted)",-0.431,-0.441
59,mr kerrey,104,Bob,Kerrey,NE,D,Kerrey (NE),129,Nebraska,0,0,0,0,0,Kerrey (NE),"KERREY, J. Robert","KERREY, J. Robert",-0.229,-0.068
60,mr kerry,104,John F.,Kerry,MA,D,Kerry (MA),130,Massachusetts,0,1,0,0,0,Kerry (MA),"KERRY, John Forbes","KERRY, John Forbes",-0.344,-0.384
61,mr kohl,104,Herbert,Kohl,WI,D,Kohl (WI),135,Wisconsin,0,0,0,0,0,Kohl (WI),"KOHL, Herbert H.","KOHL, Herbert H.",-0.272,-0.608
62,mr kyl,104,Jon,Kyl,AZ,R,Kyl (AZ),136,Arizona,0,0,0,0,0,Kyl (AZ),"KYL, Jon Llewellyn","KYL, Jon Llewellyn",0.628,-0.537
63,mr lautenberg,104,Frank,Lautenberg,NJ,D,Lautenberg (NJ),138,New Jersey,0,0,0,0,0,Lautenberg (NJ),"LAUTENBERG, Frank Raleigh","LAUTENBERG, Frank Raleigh",-0.391,-0.505
64,mr leahy,104,Edward L.,Leahy,VT,D,Leahy (VT),139,Vermont,0,0,0,0,0,Leahy (VT),"LEAHY, Patrick Joseph","LEAHY, Patrick Joseph",-0.382,-0.182
65,mr levin,104,Carl M.,Levin,MI,D,Levin (MI),142,Michigan,0,1,0,0,0,Levin (MI),"LEVIN, Carl","LEVIN, Carl",-0.41,-0.184
66,mr lieberman,104,Joseph,Lieberman,CT,D,Lieberman (CT),143,Connecticut,0,0,0,0,0,Lieberman (CT),"LIEBERMAN, Joseph I.","LIEBERMAN, Joseph I.",-0.191,-0.104
67,mr lott,104,Trent,Lott,MS,R,Lott (MS),145,Mississippi,0,0,0,0,0,Lott (MS),"LOTT, Chester Trent","LOTT, Chester Trent",0.471,0.311
68,mr lugar,104,Richard G.,Lugar,IN,R,Lugar (IN),146,Indiana,0,0,0,0,0,Lugar (IN),"LUGAR, Richard Green","LUGAR, Richard Green",0.287,-0.483
69,mr mack,104,Connie,Mack,FL,R,Mack (FL),147,Florida,0,0,0,0,0,Mack (FL),"MACK, Connie, III","MACK, Connie, III",0.418,-0.17
70,mr mccain,104,John,McCain,AZ,R,McCain (AZ),151,Arizona,0,0,0,0,0,McCain (AZ),"McCAIN, John Sidney, III","McCAIN, John Sidney, III",0.503,-0.864
71,mr mcconnell,104,Mitch,McConnell,KY,R,McConnell (KY),153,Kentucky,0,1,0,0,0,McConnell (KY),"McCONNELL, Addison Mitchell (Mitch)","McCONNELL, Addison Mitchell (Mitch)",0.38,0.282
72,ms mikulski,104,Barbara,Mikulski,MD,D,Mikulski (MD),156,Maryland,0,0,0,0,1,Mikulski (MD),"MIKULSKI, Barbara Ann","MIKULSKI, Barbara Ann",-0.327,0.033
73,ms moseley-braun,104,Carol,Moseley-Braun,IL,D,Moseley-Braun (IL),159,Illinois,0,0,0,0,1,Moseley-Braun (IL),"MOSELEY BRAUN, Carol","MOSELEY BRAUN, Carol",-0.342,-0.588
74,mr moynihan,104,Daniel P.,Moynihan,NY,D,Moynihan (NY),160,New York,0,0,0,0,0,Moynihan (NY),"MOYNIHAN, Daniel Patrick","MOYNIHAN, Daniel Patrick",-0.333,-0.585
75,mr murkowski,104,Frank,Murkowski,AK,R,Murkowski (AK),161,Alaska,0,0,0,0,0,Murkowski (AK),"MURKOWSKI, Frank Hughes","MURKOWSKI, Frank Hughes",0.373,0.06
76,mrs murray,104,Patty,Murray,WA,D,Murray (WA),164,Washington,0,0,0,0,1,Murray (WA),"MURRAY, Patty","MURRAY, Patty",-0.385,-0.169
77,mr nickles,104,Don,Nickles,OK,R,Nickles (OK),167,Oklahoma,0,0,0,0,0,Nickles (OK),"NICKLES, Donald Lee","NICKLES, Donald Lee",0.544,-0.178
78,mr nunn,104,Samuel A.,Nunn,GA,D,Nunn (GA),168,Georgia,1,0,0,0,0,Nunn (GA),"NUNN, Samuel Augustus","NUNN, Samuel Augustus",-0.126,0.461
79,mr packwood,104,Robert W.,Packwood,OR,R,Packwood (OR),170,Oregon,0,0,0,0,0,Packwood (OR),"PACKWOOD, Robert William","PACKWOOD, Robert William",0.189,-0.825
80,mr pell,104,Claiborne,Pell,RI,D,Pell (RI),172,Rhode Island,1,0,0,0,0,Pell (RI),"PELL, Claiborne de Borda","PELL, Claiborne de Borda",-0.35,-0.491
81,mr pressler,104,Larry,Pressler,SD,R,Pressler (SD),174,South Dakota,0,1,0,0,0,Pressler (SD),"PRESSLER, Larry Lee","PRESSLER, Larry Lee",0.327,-0.003
82,mr pryor,104,David H.,Pryor,AR,D,Pryor (AR),175,Arkansas,1,0,0,0,0,Pryor (AR),"PRYOR, David Hampton","PRYOR, David Hampton",-0.378,0.534
83,mr reid,104,Harry,Reid,NV,D,Reid (NV),178,Nevada,0,0,0,0,0,Reid (NV),"REID, Harry","REID, Harry",-0.221,0.35
84,mr robb,104,Charles,Robb,VA,D,Robb (VA),180,Virginia,0,0,0,0,0,Robb (VA),"ROBB, Charles Spittal","ROBB, Charles Spittal",-0.201,-0.007
85,mr rockefeller,104,John D. IV,Rockefeller,WV,D,Rockefeller (WV),182,West Virginia,0,1,0,0,0,Rockefeller (WV),"ROCKEFELLER, John Davison IV (Jay)","ROCKEFELLER, John Davison IV (Jay)",-0.335,0.21
86,mr roth,104,"William V., Jr.",Roth,DE,R,Roth (DE),183,Delaware,0,0,0,0,0,Roth (DE),"ROTH, William Victor, Jr.","ROTH, William Victor, Jr.",0.268,-0.738
87,mr santorum,104,Rick,Santorum,PA,R,Santorum (PA),187,Pennsylvania,0,0,0,0,0,Santorum (PA),"SANTORUM, Richard John (Rick)","SANTORUM, Richard John (Rick)",0.342,-0.371
88,mr sarbanes,104,Paul,Sarbanes,MD,D,Sarbanes (MD),188,Maryland,0,0,0,0,0,Sarbanes (MD),"SARBANES, Paul Spyros","SARBANES, Paul Spyros",-0.414,-0.18
89,mr shelby,104,Richard,Shelby,AL,R,Shelby (AL),194,Alabama,0,0,0,0,0,Shelby (AL),"SHELBY, Richard C.","SHELBY, Richard C.",0.358,0.463
90,mr simon,104,Paul,Simon,IL,D,Simon (IL),195,Illinois,1,0,0,0,0,Simon (IL),"SIMON, Paul Martin","SIMON, Paul Martin",-0.361,-0.722
91,mr simpson,104,Alan K.,Simpson,WY,R,Simpson (WY),196,Wyoming,1,0,0,0,0,Simpson (WY),"SIMPSON, Alan Kooi","SIMPSON, Alan Kooi",0.215,-0.366
92,mr smith,104,Robert C.,Smith,NH,R,Smith (NH),198,New Hampshire,0,1,0,0,0,Smith (NH),"SMITH, Robert C.","SMITH, Robert C.",0.631,-0.305
93,ms snowe,104,Olympia,Snowe,ME,R,Snowe (ME),199,Maine,0,0,0,0,1,Snowe (ME),"SNOWE, Olympia Jean","SNOWE, Olympia Jean",0.069,-0.714
94,mr specter,104,Arlen,Specter,PA,R,Specter (PA),200,Pennsylvania,0,0,0,0,0,Specter (PA),"SPECTER, Arlen","SPECTER, Arlen",0.03,-0.652
95,mr stevens,104,Ted,Stevens,AK,R,Stevens (AK),202,Alaska,0,1,0,0,0,Stevens (AK),"STEVENS, Theodore Fulton (Ted)","STEVENS, Theodore Fulton (Ted)",0.234,-0.17
96,mr thomas,104,Craig,Thomas,WY,R,Thomas (WY),206,Wyoming,0,0,0,0,0,Thomas (WY),"THOMAS, Craig Lyle","THOMAS, Craig Lyle",0.424,-0.325
97,mr thompson,104,Fred,Thompson,TN,R,Thompson (TN),207,Tennessee,0,1,0,0,0,Thompson (TN),"THOMPSON, Fred Dalton","THOMPSON, Fred Dalton",0.392,-0.706
98,mr thurmond,104,Strom,Thurmond,SC,R,Thurmond (SC),209,South Carolina,0,1,0,0,0,Thurmond (SC),"THURMOND, James Strom","THURMOND, James Strom",0.405,0.23
99,mr warner,104,John,Warner,VA,R,Warner (VA),217,Virginia,0,1,0,0,0,Warner (VA),"WARNER, John William","WARNER, John William",0.299,-0.01
100,mr wellstone,104,Paul,Wellstone,MN,D,Wellstone (MN),221,Minnesota,0,1,0,0,0,Wellstone (MN),"WELLSTONE, Paul David","WELLSTONE, Paul David",-0.474,-0.66
101,mr wyden,104,Ron,Wyden,OR,D,Wyden (OR),224,Oregon,0,0,0,0,0,Wyden (OR),"WYDEN, Ronald Lee","WYDEN, Ronald Lee",-0.361,-0.279
0,mr abraham,105,Spencer,Abraham,MI,R,Abraham (MI),1,Michigan,0,0,0,0,0,Abraham (MI),"ABRAHAM, Spencer","ABRAHAM, Spencer",0.37,-0.272
1,mr akaka,105,Daniel,Akaka,HI,D,Akaka (HI),2,Hawaii,0,0,0,0,0,Akaka (HI),"AKAKA, Daniel Kahikina","AKAKA, Daniel Kahikina",-0.402,0.13
2,mr allard,105,Wayne,Allard,CO,R,Allard (CO),4,Colorado,0,0,0,0,0,Allard (CO),"ALLARD, A. Wayne","ALLARD, A. Wayne",0.556,-0.16
3,mr ashcroft,105,John,Ashcroft,MO,R,Ashcroft (MO),6,Missouri,0,0,0,0,0,Ashcroft (MO),"ASHCROFT, John David","ASHCROFT, John David",0.692,0.125
4,mr baucus,105,Max,Baucus,MT,D,Baucus (MT),11,Montana,0,0,0,0,0,Baucus (MT),"BAUCUS, Max Sieben","BAUCUS, Max Sieben",-0.2,0.089
5,mr bennett,105,Robert,Bennett,UT,R,Bennett (UT),15,Utah,0,1,0,0,0,Bennett (UT),"BENNETT, Robert","BENNETT, Robert",0.271,0.047
6,mr biden,105,"Joseph R., Jr.",Biden,DE,D,Biden (DE),16,Delaware,0,0,0,0,0,Biden (DE),"BIDEN, Joseph Robinette, Jr.","BIDEN, Joseph Robinette, Jr.",-0.245,-0.064
7,mr bingaman,105,Jeff,Bingaman,NM,D,Bingaman (NM),17,New Mexico,0,0,0,0,0,Bingaman (NM),"BINGAMAN, Jesse Francis, Jr. (Jeff)","BINGAMAN, Jesse Francis, Jr. (Jeff)",-0.286,0.093
8,mr bond,105,Kit,Bond,MO,R,Bond (MO),20,Missouri,0,1,0,0,0,Bond (MO),"BOND, Christopher Samuel (Kit)","BOND, Christopher Samuel (Kit)",0.281,-0.005
9,mrs boxer,105,Barbara,Boxer,CA,D,Boxer (CA),23,California,0,1,0,0,1,Boxer (CA),"BOXER, Barbara","BOXER, Barbara",-0.376,-0.358
10,mr breaux,105,John,Breaux,LA,D,Breaux (LA),25,Louisiana,0,1,0,0,0,Breaux (LA),"BREAUX, John Berlinger","BREAUX, John Berlinger",-0.157,0.74
11,mr brownback,105,Sam,Brownback,KS,R,Brownback (KS),29,Kansas,0,1,0,0,0,Brownback (KS),"BROWNBACK, Sam Dale","BROWNBACK, Sam Dale",0.505,-0.291
12,mr bryan,105,Richard,Bryan,NV,D,Bryan (NV),30,Nevada,0,0,0,0,0,Bryan (NV),"BRYAN, Richard H","BRYAN, Richard H",-0.236,0.094
13,mr bumpers,105,Dale,Bumpers,AR,D,Bumpers (AR),31,Arkansas,1,0,0,0,0,Bumpers (AR),"BUMPERS, Dale","BUMPERS, Dale",-0.423,0.006
14,mr burns,105,Conrad,Burns,MT,R,Burns (MT),33,Montana,0,0,0,0,0,Burns (MT),"BURNS, Conrad","BURNS, Conrad",0.385,0.278
15,mr byrd,105,Robert C.,Byrd,WV,D,Byrd (WV),36,West Virginia,0,0,0,0,0,Byrd (WV),"BYRD, Robert Carlyle","BYRD, Robert Carlyle",-0.279,0.96
16,mr campbell,105,Ben Nighthorse,Campbell,CO,R,Campbell (CO),37,Colorado,0,1,0,0,0,Campbell (CO),"CAMPBELL, Ben Nighthorse","CAMPBELL, Ben Nighthorse",0.249,0.172
17,mr chafee,105,John H.,Chafee,RI,R,Chafee (RI),43,Rhode Island,0,0,0,0,0,Chafee (RI),"CHAFEE, John Hubbard","CHAFEE, John Hubbard",0.08,-0.981
18,mr cleland,105,Max,Cleland,GA,D,Cleland (GA),47,Georgia,0,0,0,0,0,Cleland (GA),"CLELAND, Joseph Maxwell (Max)","CLELAND, Joseph Maxwell (Max)",-0.271,0.412
19,mr coats,105,Daniel,Coats,IN,R,Coats (IN),49,Indiana,1,0,0,0,0,Coats (IN),"COATS, Daniel Ray","COATS, Daniel Ray",0.433,-0.652
20,mr cochran,105,Thad,Cochran,MS,R,Cochran (MS),51,Mississippi,0,0,0,0,0,Cochran (MS),"COCHRAN, William Thad","COCHRAN, William Thad",0.261,-0.083
21,ms collins,105,Susan,Collins,ME,R,Collins (ME),54,Maine,0,0,0,0,1,Collins (ME),"COLLINS, Susan Margaret","COLLINS, Susan Margaret",0.132,-0.772
22,mr conrad,105,Kent,Conrad,ND,D,Conrad (ND),55,North Dakota,0,0,0,0,0,Conrad (ND),"CONRAD, Kent","CONRAD, Kent",-0.326,0.76
23,mr coverdell,105,Paul,Coverdell,GA,R,Coverdell (GA),60,Georgia,0,1,0,0,0,Coverdell (GA),"COVERDELL, Paul","COVERDELL, Paul",0.401,-0.023
24,mr craig,105,Larry E.,Craig,ID,R,Craig (ID),62,Idaho,0,0,0,0,0,Craig (ID),"CRAIG, Larry Edwin","CRAIG, Larry Edwin",0.452,0.17
25,mr d'amato,105,Alfonse M.,DAmato,NY,R,DAmato (NY),65,New York,0,1,0,0,0,DAmato (NY),"D'AMATO, Alfonse Marcello","D'AMATO, Alfonse Marcello",0.116,-0.204
26,mr daschle,105,Tom,Daschle,SD,D,Daschle (SD),66,South Dakota,0,1,0,0,0,Daschle (SD),"DASCHLE, Thomas Andrew","DASCHLE, Thomas Andrew",-0.331,0.299
27,mr dewine,105,Mike,DeWine,OH,R,DeWine (OH),69,Ohio,0,0,0,0,0,DeWine (OH),"DeWINE, Michael","DeWINE, Michael",0.278,-0.415
28,mr dodd,105,Christopher J.,Dodd,CT,D,Dodd (CT),70,Connecticut,0,1,0,0,0,Dodd (CT),"DODD, Christopher John","DODD, Christopher John",-0.289,-0.338
29,mr domenici,105,Pete V.,Domenici,NM,R,Domenici (NM),73,New Mexico,0,0,0,0,0,Domenici (NM),"DOMENICI, Pete Vichi","DOMENICI, Pete Vichi",0.247,-0.144
30,mr dorgan,105,Byron L.,Dorgan,ND,D,Dorgan (ND),75,North Dakota,0,1,0,0,0,Dorgan (ND),"DORGAN, Byron Leslie","DORGAN, Byron Leslie",-0.346,0.673
31,mr durbin,105,Richard,Durbin,IL,D,Durbin (IL),76,Illinois,0,0,0,0,0,Durbin (IL),"DURBIN, Richard Joseph","DURBIN, Richard Joseph",-0.422,-0.429
32,mr enzi,105,Michael,Enzi,WY,R,Enzi (WY),79,Wyoming,0,0,0,0,0,Enzi (WY),"ENZI, Michael B.","ENZI, Michael B.",0.491,0.042
33,mr faircloth,105,D. M. 'Lauch',Faircloth,NC,R,Faircloth (NC),81,North Carolina,0,1,0,0,0,Faircloth (NC),"FAIRCLOTH, Duncan McLauchlin (Lauch)","FAIRCLOTH, Duncan McLauchlin (Lauch)",0.672,0.741
34,mr feingold,105,Russell,Feingold,WI,D,Feingold (WI),82,Wisconsin,0,1,0,0,0,Feingold (WI),"FEINGOLD, Russell Dana","FEINGOLD, Russell Dana",-0.396,-0.918
35,mrs feinstein,105,Dianne,Feinstein,CA,D,Feinstein (CA),83,California,0,0,0,0,1,Feinstein (CA),"FEINSTEIN, Dianne","FEINSTEIN, Dianne",-0.255,-0.137
36,mr ford,105,Wendell H.,Ford,KY,D,Ford (KY),87,Kentucky,1,0,0,0,0,Ford (KY),"FORD, Wendell Hampton","FORD, Wendell Hampton",-0.279,0.932
37,mr frist,105,Bill,Frist,TN,R,Frist (TN),90,Tennessee,0,0,0,0,0,Frist (TN),"FRIST, William H.","FRIST, William H.",0.335,-0.272
38,mr glenn,105,"John H., Jr.",Glenn,OH,D,Glenn (OH),92,Ohio,1,0,0,0,0,Glenn (OH),"GLENN, John Herschel, Jr.","GLENN, John Herschel, Jr.",-0.351,-0.265
39,mr gorton,105,Slade,Gorton,WA,R,Gorton (WA),94,Washington,0,0,0,0,0,Gorton (WA),"GORTON, Thomas Slade, III (Slade)","GORTON, Thomas Slade, III (Slade)",0.273,-0.371
